STATEFP,SCSDLEA,GEOID,NAME,LSAD,LOGRADE,HIGRADE,MTFCC,SDTYP,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,ELSDLEA,UNSDLEA,NPR_AllDistricts_3.24.16_NCES_ID_ORIG,NPR_AllDistricts_3.24.16_District Name,NPR_AllDistricts_3.24.16_State Name,NPR_AllDistricts_3.24.16_City Name,NPR_AllDistricts_3.24.16_ENROLLMENT (Number of students enrolled in district):2013,NPR_AllDistricts_3.24.16_Raw per-pupil expenditures for district:2013,"NPR_AllDistricts_3.24.16_Per-pupil expenditures for district, adjusted by regional cost differences:2013",NPR_AllDistricts_3.24.16_color_bin_orig,NPR_AllDistricts_3.24.16_color_bin
46,,4664140,Rutland School District 39-4,00,PK,12,G5420,,E,321257521,2807348,+44.1177945,-096.9794810,,64140,4664140,RUTLAND SCHOOL DISTRICT 39-4,SD,RUTLAND,144,11381.9444444444,12438.486170422,,bin4
46,,4665180,Scotland School District 04-3,00,PK,12,G5420,,E,666925260,1121163,+43.1317610,-097.6916753,,65180,4665180,SCOTLAND SCHOOL DISTRICT 4-3,SD,SCOTLAND,276,9083.33333333333,9233.12638273555,,bin2
46,,4665460,Shannon County School District 65-1,00,PK,12,G5420,,E,5422998821,7126221,+43.3336299,-102.5616990,,65460,4665460,SHANNON COUNTY SCHOOL DISTRICT 65-1,SD,BATESLAND,1436,15637.8830083565,16212.386133221,,bin5
46,,4666270,Sioux Falls School District 49-5,00,PK,12,G5420,,E,191434106,1510465,+43.5544923,-096.7447999,,66270,4666270,SIOUX FALLS SCHOOL DISTRICT 49-5,SD,SIOUX FALLS,23227,7696.56003788694,7245.54718548602,,bin1
46,,4666300,Sioux Valley School District 05-5,00,PK,12,G5420,,E,472107227,7256027,+44.3335741,-096.9390572,,66300,4666300,SIOUX VALLEY SCHOOL DISTRICT 5-5,SD,VOLGA,560,8242.85714285714,9008.00957838425,,bin2
46,,4666930,Spearfish School District 40-2,00,PK,12,G5420,,E,733056343,462318,+44.4661143,-103.8923772,,66930,4666930,SPEARFISH SCHOOL DISTRICT 40-2,SD,SPEARFISH,2086,6942.95302013423,7010.14836369472,,bin1
46,,4669540,Stickney School District 01-2,00,KG,12,G5420,,E,492073768,104262,+43.5780433,-098.4698292,,69540,4669540,STINCKNEY SCHOOL DISTRICT 1-2,SD,STICKNEY,123,11203.2520325203,11388.0046143742,,bin3
46,,4669930,Meade School District 46-1,00,PK,12,G5420,,E,8045894449,27432301,+44.5521014,-102.7605759,,69930,4669930,MEADE SCHOOL DISTRICT 46-1,SD,STURGIS,2602,7509.22367409685,7785.09685103323,,bin2
46,,4670140,Summit School District 54-6,00,PK,12,G5420,,E,400340582,4848245,+45.2897586,-097.0721141,,70140,4670140,SUMMIT SCHOOL DISTRICT 54-6,SD,SUMMIT,157,9522.29299363057,9918.83089993796,,bin2
46,,4671880,Timber Lake School District 20-3,00,PK,12,G5420,,E,3129147897,124963002,+45.3784087,-100.9341249,,71880,4671880,TIMBER LAKE SCHOOL DISTRICT 20-3,SD,TIMBER LAKE,348,13057.4712643678,13537.1754570772,,bin4
46,,4672090,Todd County School District 66-1,00,PK,12,G5420,,E,3596101701,5854544,+43.2087936,-100.7076636,,72090,4672090,TODD COUNTY SCHOOL DISTRICT 66-1,SD,MISSION,2061,11412.9063561378,11832.1926726989,,bin3
46,,4672450,Tripp-Delmont School District 33-5,00,KG,12,G5420,,E,649979234,239474,+43.2326353,-098.0480328,,72450,4672450,TRIP-DELMART SCHOOL DISTRICT 33-5,SD,TRIPP,187,11919.7860962567,12116.3550255316,,bin3
46,,4674370,Vermillion School District 13-1,00,PK,12,G5420,,E,451432343,12411467,+42.8205955,-096.9183715,,74370,4674370,VERMILLION SCHOOL DISTRICT 13-1,SD,VERMILLION,1206,8531.50912106136,8245.45020887601,,bin2
46,,4674520,Viborg Hurley 60-6,00,PK,12,G5420,,E,533564456,1502230,+43.2247224,-097.1511149,,74520,4674520,VIBORG-HURLEY SCHOOL DISTRICT 60-6,SD,VIBORG,382,8712.04188481675,8201.52253053828,,bin2
46,,4675420,Wagner School District 11-4,00,PK,12,G5420,,E,845020900,9480567,+43.0446528,-098.2984059,,75420,4675420,WAGNER COMMUNITY SCHOOL DISTRICT 11-4,SD,WAGNER,911,9904.50054884742,10067.8354486659,,bin2
46,,4675600,Smee School District 15-3,00,PK,12,G5420,,E,449201276,70012020,+45.6495988,-100.5546399,,75600,4675600,SMEE SCHOOL DISTRICT 15-3,SD,WAKPALA,211,17488.1516587678,18130.6297851674,,bin5
46,,4675660,Wall School District 51-5,00,PK,12,G5420,,E,3403924732,11961056,+44.0097727,-102.2984169,,75660,4675660,WALL SCHOOL DISTRICT 51-5,SD,WALL,244,11569.6721311475,11681.6458246869,,bin3
46,,4676020,Warner School District 06-5,00,PK,12,G5420,,E,486790368,748646,+45.3179338,-098.5090900,,76020,4676020,WARNER SCHOOL DISTRICT 6-5,SD,WARNER,327,6865.44342507645,7151.34184927666,,bin1
46,,4676620,Watertown School District 14-4,00,PK,12,G5420,,E,799021187,45276269,+44.9377739,-097.1556141,,76620,4676620,WATERTOWN SCHOOL DISTRICT 14-4,SD,WATERTOWN,3883,7409.7347411795,8097.55165776119,,bin2
46,,4676680,Waubay School District 18-3,00,PK,12,G5420,,E,468943128,46730785,+45.3050862,-097.2666501,,76680,4676680,WAUBAY SCHOOL DISTRICT 18-3,SD,WAUBAY,174,13189.6551724138,13738.9134498564,,bin4
46,,4676740,Waverly School District 14-5,00,PK,12,G5420,,E,644201877,4273599,+45.0588837,-096.9534366,,76740,4676740,WAVERLY SCHOOL DISTRICT 14-5,SD,WAVERLY,207,9024.15458937198,9861.83183440522,,bin2
46,,4676990,Webster School District 18-5,00,PK,12,G5420,,E,1181492937,94145403,+45.3470192,-097.4954696,,76990,4676990,WEBSTER AREA SCHOOL DISTRICT 18-5,SD,WEBSTER,559,7386.40429338104,7693.99714896702,,bin1
46,,4677460,Wessington Springs School District 36-2,00,PK,12,G5420,,E,1915415786,17462382,+44.0651914,-098.7688515,,77460,4677460,WESSINGTON SPRINGS SCHOOL DISTRICT 36-2,SD,WESSINGTON SPRINGS,315,9974.60317460317,10389.9766840877,,bin2
46,,4678300,Deubrook School District 05-6,00,KG,12,G5420,,E,637993716,10367479,+44.5213401,-096.5927750,,78300,4678300,DEUBROOK AREA SCHOOL DISTRICT 05-6,SD,WHITE,369,10536.5853658537,11514.6556896622,,bin3
46,,4678510,White Lake School District 01-3,00,PK,12,G5420,,E,627622538,9412001,+43.7238261,-098.7156145,,78510,4678510,WHITE LAKE SCHOOL DISTRICT 1-3,SD,WHITE LAKE,125,11016,11197.6646127209,,bin3
46,,4678570,White River School District 47-1,00,PK,12,G5420,,E,2361208752,6408113,+43.6037798,-100.9254395,,78570,4678570,WHITE RIVER SCHOOL DISTRICT 47-1,SD,WHITE RIVER,447,11004.4742729306,11408.7556487352,,bin3
46,,4679350,Willow Lake School District 12-3,00,PK,12,G5420,,E,778961982,3308172,+44.6412461,-097.7248025,,79350,4679350,WILLOW LAKE SCHOOL DISTRICT 12-3,SD,WILLOW LAKE,237,9400.84388185654,10273.487731865,,bin2
46,,4679710,Winner School District 59-2,00,PK,12,G5420,,E,3060420094,10267478,+43.3931499,-099.9289149,,79710,4679710,WINNER SCHOOL DISTRICT 59-2,SD,WINNER,697,8239.59827833572,8375.47731157916,,bin2
46,,4680100,Wolsey-Wessington School District 02-6,00,PK,12,G5420,,E,1041769004,456927,+44.4080053,-098.5700645,,80100,4680100,WOLSEY-WESSINGTON SCHOOL DISTRICT 2-6,SD,WOLSEY,332,8036.14457831325,8370.79464085589,,bin2
46,,4680190,Woonsocket School District 55-4,00,KG,12,G5420,,E,568334051,1782325,+44.0479035,-098.2383278,,80190,4680190,WOONSOCKET SCHOOL DISTRICT 55-4,SD,WOONSOCKET,196,8923.4693877551,9070.62612436125,,bin2
46,,4680430,Yankton School District 63-3,00,PK,12,G5420,,E,535614278,24232760,+42.9473002,-097.4467875,,80430,4680430,YANKTON SCHOOL DISTRICT 63-3,SD,YANKTON,2783,7358.60582105641,7111.87400063608,,bin1
46,,4680437,Kadoka School District 35-2,00,KG,12,G5420,,E,5339192290,20003309,+43.7353031,-101.5624193,,80437,4680437,KADOKA SCHOOL DISTRICT 35-2,SD,KADOKA,375,10960,10970.6052763998,,bin2
46,,4680438,Platte-Geddes School District 11-5,00,KG,12,G5420,,E,1541877225,95404056,+43.3622714,-098.8544325,,80438,4680438,PLATTE-GEDDES SCHOOL DISTRICT 11-5,SD,PLATTE,441,9555.55555555555,9564.8018427654,,bin2
46,,4680439,Irene-Wakonda School District 13-3,00,KG,12,G5420,,E,733478295,1246567,+43.0189296,-097.1724292,,80439,4680439,IRENE-WAKONDA SCHOOL DISTRICT 13-3,SD,IRENE,334,9119.76047904192,9128.58507581015,,bin2
